192.168.202.1, 2017-02-04 21:20:13, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.000405
192.168.202.1, 2017-02-04 21:20:13, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001439
192.168.202.1, 2017-02-04 21:20:13, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000584
192.168.202.1, 2017-02-04 21:20:13, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.002524
192.168.202.1, 2017-02-04 21:20:13, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000990
192.168.202.1, 2017-02-04 21:20:13, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.000226
192.168.202.1, 2017-02-04 21:20:14, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.000379
192.168.202.1, 2017-02-04 21:20:14, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.000519
192.168.202.1, 2017-02-04 21:20:14, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000830
192.168.202.1, 2017-02-04 21:20:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000292
192.168.202.1, 2017-02-04 21:20:15, GET, /ssllabs/default/index, HTTP/1.1, 200, 0.016682
192.168.202.1, 2017-02-04 21:20:15, GET, /ssllabs/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000561
192.168.202.1, 2017-02-04 21:20:15, GET, /ssllabs/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000596
192.168.202.1, 2017-02-04 21:20:15, GET, /ssllabs/static/js/jquery.js, HTTP/1.1, 200, 0.000414
192.168.202.1, 2017-02-04 21:20:15, GET, /ssllabs/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000333
192.168.202.1, 2017-02-04 21:20:15, GET, /ssllabs/static/css/calendar.css, HTTP/1.1, 200, 0.000445
192.168.202.1, 2017-02-04 21:20:15, GET, /ssllabs/static/js/web2py.js, HTTP/1.1, 200, 0.002214
192.168.202.1, 2017-02-04 21:20:15, GET, /ssllabs/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000471
192.168.202.1, 2017-02-04 21:20:15, GET, /ssllabs/static/js/calendar.js, HTTP/1.1, 200, 0.000531
192.168.202.1, 2017-02-04 21:20:15, GET, /ssllabs/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.003122
192.168.202.1, 2017-02-04 21:20:15, GET, /ssllabs/static/js/share.js, HTTP/1.1, 200, 0.005677
192.168.202.1, 2017-02-04 21:20:15, GET, /ssllabs/static/images/background.jpg, HTTP/1.1, 304, 0.000734
192.168.202.1, 2017-02-04 21:20:15, GET, /ssllabs/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000529
192.168.202.1, 2017-02-04 21:20:15, GET, /ssllabs/static/images/twitter.png, HTTP/1.1, 304, 0.000654
192.168.202.1, 2017-02-04 21:20:15, GET, /ssllabs/static/images/gplus-32.png, HTTP/1.1, 304, 0.000582
192.168.202.1, 2017-02-04 21:20:15, GET, /ssllabs/static/images/facebook.png, HTTP/1.1, 304, 0.000505
192.168.202.1, 2017-02-04 21:22:03, GET, /ssllabs/default/index, HTTP/1.1, 200, 0.024673
192.168.202.1, 2017-02-04 21:22:04, GET, /ssllabs/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000392
192.168.202.1, 2017-02-04 21:22:04, GET, /ssllabs/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000651
192.168.202.1, 2017-02-04 21:22:04, GET, /ssllabs/static/css/calendar.css, HTTP/1.1, 200, 0.000872
192.168.202.1, 2017-02-04 21:22:04, GET, /ssllabs/static/images/favicon.ico, HTTP/1.1, 200, 0.000591
192.168.202.1, 2017-02-04 21:22:17, GET, /ssllabs/, HTTP/1.1, 200, 0.013349
192.168.202.1, 2017-02-04 21:22:17, GET, /ssllabs/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000721
192.168.202.1, 2017-02-04 21:22:17, GET, /ssllabs/static/css/calendar.css, HTTP/1.1, 200, 0.000740
192.168.202.1, 2017-02-04 21:22:17, GET, /ssllabs/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000569
192.168.202.1, 2017-02-04 21:22:59, GET, /admin/default/index, HTTP/1.1, 303, 0.003023
192.168.202.1, 2017-02-04 21:22:59, GET, /admin/default/site, HTTP/1.1, 200, 0.039771
192.168.202.1, 2017-02-04 21:22:59, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.000459
192.168.202.1, 2017-02-04 21:22:59, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000624
192.168.202.1, 2017-02-04 21:22:59, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.000747
192.168.202.1, 2017-02-04 21:22:59, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001179
192.168.202.1, 2017-02-04 21:22:59, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.000598
192.168.202.1, 2017-02-04 21:22:59, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000456
192.168.202.1, 2017-02-04 21:22:59, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000310
192.168.202.1, 2017-02-04 21:22:59, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000445
192.168.202.1, 2017-02-04 21:22:59, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.000371
192.168.202.1, 2017-02-04 21:22:59, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000418
192.168.202.1, 2017-02-04 21:22:59, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.000680
192.168.202.1, 2017-02-04 21:23:00, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.000399
192.168.202.1, 2017-02-04 21:23:00, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000374
192.168.202.1, 2017-02-04 21:23:00, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.000367
192.168.202.1, 2017-02-04 21:23:00, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.000538
192.168.202.1, 2017-02-04 21:23:00, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000606
192.168.202.1, 2017-02-04 21:23:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000258
192.168.202.1, 2017-02-04 21:23:02, GET, /ssllabs/, HTTP/1.1, 200, 0.020655
192.168.202.1, 2017-02-04 21:23:02, GET, /ssllabs/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000424
192.168.202.1, 2017-02-04 21:23:02, GET, /ssllabs/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000430
192.168.202.1, 2017-02-04 21:23:02, GET, /ssllabs/static/css/calendar.css, HTTP/1.1, 200, 0.000821
192.168.202.1, 2017-02-04 21:23:26, GET, /ssllabs/, HTTP/1.1, 500, 0.070874
192.168.202.1, 2017-02-04 21:23:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000308
192.168.202.1, 2017-02-04 21:23:28, GET, /admin/default/ticket/ssllabs/192.168.202.1.2017-02-04.21-23-26.b4c2d448-c456-4920-9ca0-328eed3462d6, HTTP/1.1, 200, 0.048987
192.168.202.1, 2017-02-04 21:23:28, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.000509
192.168.202.1, 2017-02-04 21:23:28, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.000385
192.168.202.1, 2017-02-04 21:23:28, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000517
192.168.202.1, 2017-02-04 21:23:28, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.001949
192.168.202.1, 2017-02-04 21:23:28, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000362
192.168.202.1, 2017-02-04 21:23:28, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000468
192.168.202.1, 2017-02-04 21:23:28, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000836
192.168.202.1, 2017-02-04 21:23:28, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000379
192.168.202.1, 2017-02-04 21:23:28, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000434
192.168.202.1, 2017-02-04 21:23:28, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000478
192.168.202.1, 2017-02-04 21:23:28, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.000254
192.168.202.1, 2017-02-04 21:23:28, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.000618
192.168.202.1, 2017-02-04 21:23:28, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.001109
192.168.202.1, 2017-02-04 21:23:28, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.000547
192.168.202.1, 2017-02-04 21:23:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000633
192.168.202.1, 2017-02-04 21:23:43, GET, /ssllabs/, HTTP/1.1, 200, 0.017011
192.168.202.1, 2017-02-04 21:23:43, GET, /ssllabs/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000551
192.168.202.1, 2017-02-04 21:23:43, GET, /ssllabs/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000459
